,text,label
0,text,label
1, شهر إنترنت كيف ,data_offer
2, انا عندي شريحا اريبا داير اغلبه داتا ممكن ,voice_offers
3, ماهى العروض الجديدة ؟ ,data_offer
4, بسال من جهاز wifi 4G  منشط لمدة سنة بكلف كم ,data_offer
5, انا داير اعرف كيف انشط بالشهر ,data_offer
6, كيف اشترك في حزمة 10 G في ال4G ,data_offer
7, بانا الشبكة عندي شببببببه معدومة  ياخ انا كللللل يوم بفعل العرض الذهبي والغريبة شبكة ماف نهااااااائي ,complaint
8, ممكن اسأل عن سرعة الانترنت الذهبي دا كم؟؟؟   ,data_offer
9, طييييب ي ادمن  انا عاوز لي جهاز واي فاي منكم  ممكن توريني العروض والاسعار والسرعة  واعتذر جدا ع الاطالة  ,data_offer
10, ديل يعني م محدودات😳😳    ؟؟؟؟؟؟؟ ,data_offer
11, ممكن توروني كااافة العروض بتاعة شريحة البيانات واسعارها ,data_offer
12, عاوز اوقف الخدمة بتاعت سلفني ,voice_offers
13, بسأل عن عروص المكالمات اليومية لشريحة ام تي ان يلا  ممكن توروني العروض واسعارها ,voice_offers
14, عاوز اعرف العروض بتاعت قرايب اكسترا,voice_offers
15, وبتاع نهارك سعيد ,voice_offers
16, والعرض بتاع ساعتين غير محدودات خلال اليوم ,data_offer
17, عاوز اعرف المراكز بتاعتكم ف الولايات بتفتح الساعة كم.؟ ,service_centers
18, لو عاوز اعرف متبقي لي كم من الانترنت اليومي ل شريحة البيانات الخط اعمل شنو؟؟ ,data_offer
19, عندي شريحة بيانات خط باسم محمد عبد الحميد محمد  عاوز اعرف فاتورتي الشهرية كم,voice_offers
20, رسلتا الرقم الوطني    من الشريحة رقمها اداني التسجيل غير مطابق وطلعتا بدل فاقد قبل كدا بي بياناتي عاوز استفسر المشكله شنو لو سمحتم ,complaint
21, بتدني غير مسجل في الشبكه  ,complaint
22, توقف تحميل الفيديوهات عندي من امس  منشطه الباقه الذهبيه الشهريه شريحه بيانات هل انتهت الميغابيتات لكن التصفح موجود ,complaint
23, بسإل عن خدمات الشهر  Mujahid Aljili:   الجيل الرابع ,data_offer
24, ممكن سعر شريحة البيانات ,data_offer
25, بس ممكن اعرف مميزات شريحة البيانات ومن العادية ,my_sim
26, ممكن تتاكدو لي من الشريحة دا انا ما متاكد منها ,my_sim
27, لو داير انشط لامحدود البلاتيني اضغط * كم؟ ,data_offer
28, عاوز انشط باقت الانتر نت الزهبي لي شهر,data_offer
29, داير انشط الباقة الشهرية الزهبية,data_offer
30, كيف ممكن اعرف كم فضل لي في الباقة,data_offer
31, النت عندي ضعيف    كان شغال كويس بس حسي ضعيف شديد,complaint
32, الانت كل يوم من الساعة 8 لي 12 بيبقا تقيل ,complaint
33, بس لو سمحت حجم الباقة اليومي كم ميجا  ,data_offer
34, ممكن تعرفو لي الشريحة دي بيانات ولا عاديه ///////////////////////////////////////// ,my_sim
35, كيف اعرف رقم الشريحة؟ ,my_sim
36,  ممكن اعرف لو خدمات اللامحدود الشهرية ممكن تتفعل في الشريحة العادية ولا لا,data_offer
37, لي خدمة المجان وقفت معاي ,complaint
38, عندي شريحة داتا ام تي إن ونشطت فيها خمسة قيقا بس بتشتغل معاي فيس بوك فقط يعني لو خشيت اليوتيوب ما بشتغل معاي ! كيف بضبطها؟؟ ,data_offer
39,  عملت تحديث لجهازي سامسونج ولمن فتح بديني غير مسجل بالشبكة ,complaint
40, لدي نغمة مسجلة عندي كيف ممكن اعملها نغمة متصل ..يعني لما يتصل على شخص يسمع هذه النغمة ..؟ ,voice_offers
41,  ممكن اكواد جميع الخدمات الصوتيه,voice_offers
42,  بسأل هل عندكم فرع شغال اليوم الجمعة ,service_centers
43,  بسأل عن اي فرع في العاصمة المثلثة يكون شغال اليوم الجمعه ,service_centers
44,  عندي شريحة داتا داير احولها خط. داير اعرف نظام الداتا خط دي كيف ,my_sim
45,  كل الشرائح واجهزة الواي فاي في المناقل عاملة نو سيقنال  النت لا يعمل ,complaint
46,  عندي شريحة أكانت شغال واسي لمن جيت ركبتها ما قرأة معاي عايز أنشطها ,my_sim
47,  خدمة نت كل يوم 1قيقالمدة شهر شريحة دفع مقدم ,data_offer
48,  تغير من دفع مقدم  للخط ,my_sim
49,  ياخ الشبكة طاشة والانترنت قاطع ليهو يومين المنطقة الجزيرة الحصاحيصا و ريفي الحصاحيصا,complaint
50,  اليوم تم حظر الشريح مرة اخرة ,complaint
51,  كيف بحول الدقايق لميغا في العرض حق على كيفك ,voice_offers
52,  الشبكه الايام دي تعبانة شديد ,complaint
53,  خدمه اهدا الباقات ماسغاله ,complaint
54,  تحويل الرصيد عندكم َمشكله كبيره لو عايز أحول ام تي ن رصيد للأهل الا٥٠٠ في اليوم وميه جنيه ميه غلط لان سوداني واريبا ممكن الف جنيه  جميع الناس كهرهو اريبا بالطريقه ومافيش حد يحب يحولو ليهو رصيد ام تي ن اعملوا مراجعه تتحول الف كامل والمبلغ يذيد لألف في اليوم رااي كمواطن سوداني التقييد  بطال ,complaint
55,  بسال من اقرب مكتب شغال في الكلاكلة ,service_centers
56, بحاول احول رصيد من شريحتي و بظهر لي اني اتجاوزت الحد المسموح ليه للتحويل مع اني ما حولت منها رصيد اليوم ,my_sim
57,  عايزة احول شريحة الداتا لخط ,my_sim
58,  لة اشتراك النت مدة شهر من يوم 5/5 بس من امس بالليل النت قطع اضطريت افعل 20ميقابايت حتى اشتغل ,complaint
59,  الحاصل شنو  ما ممكن كل مرة اشترك و الاشتراك  ينتهي في عشرة و لا ١٥ يوم ,complaint
60, شريحتي م بتجيي لي الرصيد اولا  تاني كل م اتصل بيها الجهاز بعلق  تالت م قاعدين اجيبو لي رسائل انتهاء خدمة الانترنت ,complaint
61, داير اتاكد من الرقم دا مسجل ولا لا  ,my_sim
62,  كل م احي افعل الكود *39*9# بقول لي اللسيستم مشغول ,complaint
63,  عندي مشكلة  كرت الشحن فيهو اربعة ارقام الاولي م ظاهره ,complaint
64,  عندي شريحة اشتريتها قبل يومين  قال لي انها مفعلة جاهزه بس لم رجعت البيت لقيتة م شغالة ,complaint
65,  داير شرئحه داتا وين بلاقيها ,my_sim
66,  ممكن تشرح لي قانون الاستخدام العادل دا,data_offer
67,  جهاز الواي فاي بكم,data_offer
68, اسمع انا داير انشط باقة ال١G لاكن امن احاول انشط بيجيبو لي لقد تم تفعيل العرض مسبقا وانا ما نشط اصلا وشكرا ,complaint
69,  بسأل من الشرائح ,my_sim
70,  ندي رقم اريبا كنت منزله بيه كم ابلكيشن وطلعته واشتغلت بشريحه سوداني للانترنت   فتره كده  بس اسه دخلتها عشان الواتس بتاعي اتمسح ارجعه بنفس الرقم م بتجيني مسجات ولا مكالمات ,complaint
71,  قرب مركز وين  انا فبحري ,service_centers
72,  ممكن اسجل البيانات بالاتصال ع111? ,my_sim
73,  ممكن اتاكد اذا شريحتي اتسجلت او لا ,my_sim
74,  اعرف رقم شريحه الداتا كيف,my_sim
75,  الشريحه م قرت,complaint
76,  بطئ الانترنت فشريحه الداتا ,complaint
77,  شريحتي م بستقبل رسائل لا ترسل ,complaint
78,  عايزا اسجل شريحه بدل فاقد ,my_sim
79,   عندي شريحه اربيا عايز اسجلها بس الرقم المسلسل م معي ممكن تسجل ,my_sim
80,  بستفسر كيف الغي خدمة استلاف الرصيد ,my_sim
81, داير اسال من خدمة توريك الاتصل عليك لمن يكون التلفون مقفول ,voice_offers
82,  انا منشط 500 و شبكتكم طاشة هسي خدمتي تروح ساي,complaint
83,  شبكتكم الايام دي كعبة شديد في كسلا ,complaint
84,  مشكلة في شبكة الانترنت بطيئة جدا ,complaint
85,  عندي مشكلة في الانترنت من الصباح و اتصلته على خدمة العملاء قالو لي تم تحويل المشكلة للقسم التقني الكلام دا الساعة 12 و لحدي هسي ما رجعت يا ريت تراجع المشكلة دي وتهتمو بالموضوع اكتر لانو عندي شغل واقف عليها  و دا رقم الشريحة الفيها المشكلة,complaint
86,  عندي مشكلة ليها 4 ايام في الانترنت ,complaint
87,  بسأل من سعر الشريحة الداتا و التنشيط الشهري بكم ,my_sim
88,  عندي شريحة بيانات ما بتقبل رصيد لمن احول ليها,complaint
89,  ماهي عروض الانترنت لشرائح البيانات ,data_offer
90,  ماهي تفاصيل الباقة الذهبية ,data_offer
91,  ماهي الحصة اليوميه؟ ,data_offer
92,  اين توجد فروعكم في ام درمان,service_centers
93,  لدي شريحة داتا اريد شحنها بالرصيد ماهي الطريقة ,voice_offers
94,  هل العرض اليومي لشرائح الداتا ينتهي بعد 24 س من التفعيل او بحلول 12 ؟ ,data_offer
95,  السلام عليكم لدي شريحة داتا اريد معرفة الميقابايت الموجودة بها ؟ ,data_offer
96,  كيف اذا اردت معرفة المتبقي من الحصة اليوميه؟,data_offer
97,  عندي شريحة بيانات اختفت علامه الشبكه من امس ممكن اعرف السبب ,complaint
98,  عندي شريحة بيانات اريد ايقافها مؤقتا لأنني مسافرة خارج البلاد ,voice_offers
99,  لو سمحت لاتوجد لدي اشارة انترنت,complaint
100,  وباقة كل يوم قيقا كم سعرها؟,data_offer
101,  ما الفرق بين الباقة الذهبية والباقة البلاتينية ,data_offer
102,  لو سمحتو ماهي مشكلة تقطع الخدمه المسمتر ,complaint
103,  هل يمكنني زيادة السعه اليوميه ,data_offer
104,  اريد ترقية اشتراكي ,data_offer
105,  تفاصيل الباقة البلاتينية   ماهي السعة اليومية ,data_offer
106,  لدي شريحةداتا لم يتم تفعيلها ,complaint
107,  لدي شريحه لم تفعل  ليها اكتر من ٢٤ ساعه ,complaint
108,  الخدمه سيئة والانترنت ضعيف ,complaint
109,  الخدمه سيئة والانترنت جدا ضعيف ما السبب ,complaint
110,  النت سيئ ,complaint
111,  الشبكه مقطوعة امدرمان ,complaint
112,  الشبكه مقطوعة ,complaint
113,  لاتوجد اشارة انترنت ,complaint
114,  كيف بدفع مستحقات شريحة الداتا بتاعة الشهر الفات؟ ,voice_offers
115,  مركز ام تي ان بي ود مدني شغال ولا مغلق ,service_centers
116,  مركز ام تي ان في الخرطوم تفتح متين عندي فاتورة حابة ادفعا 978ج وماف كروت؟ ,service_centers
117,  الشبكة مالا بتجي وتقطع  ليها تلاته أيام بالشكل دا ,complaint
118,  شبكة قبل 3 أيام كانت اقوي فجأة بعد 3 أيام بقت تقطع,complaint
119, ي جماعة م تشوفو لينا مشكلة الشبكة دي للشريحه البيانات ليها اكتر من 3 ايام  ,complaint
120,  السلام عليكم لدي مشكلة عندما اريد ان افعل خدمة الانترنت ال 1g يقول لي انت مسشترك مسبقا في خدمة ال24 ساعة ارجو حل للمشكلة ,complaint
121,  هناك ضعف وتقطع في شبكتكم ارجو حل المشكلة في اسرع وقت ,complaint
122,  المشكلة الشبكة كعبة كل دقيقة بتفصل وتاني بتجي ,complaint
123,  المشكلة شبكة الانترنت سيئة جدا وتفصل كل دقيقة ,complaint
124,  بكة الانترنت ضيفة شديد ,complaint
125,  الشبكة كعبة من امس ورسلت ليكم قلتو بترجع في الساعات القادمة لي الان ما رجعت ,complaint
126,  ي يومين الاتصال بالانترنت كعب شديد مع انو الشبكة ما كعبة حقت الاتصال وانا مفعل باقة 1 قيقا ,complaint
127,  عايز اعرف السعر الجديد لباقات الانترنت ,data_offer
128,  شبكة الانترنت من امس بتجي دقيقة وبتفصل السبب شنو ,complaint
129,  بسال عن شريحة البيانات بكم سعرة وباقات الانترنت حقتها ,data_offer
130,  باقة 10 قيقا الشهرية بكم ,complaint
131,  عروض الانترنت الشهرية لشريحة العادية ,complaint
132,  كل اسبوع شبكة الانترنت تشغل يومين وتقطع 5 ,complaint
133,  نريد منكم ان ترسلو لنا رمز التفعيل حق باقه مكس شهر ,data_offer
134, كان لدي شريحة mtn تفاجات باغلاقها دون تنبيه باغلاقها بعد مغادرتي السودان علمان بان الشريحة كانت على جهاز الموبايل  هل بامكاني استعادتها رقمها ,complaint
135, ماهي عروض وباقات الانترنت لديكم,data_offer
136,  ما هي عروض الانترنت للشرايح العادية ,data_offer
137,  كيف انشط ٢٠ قيقا ,data_offer
138,  عروض نت,data_offer
139,  عروض إتصالات ,voice_offers
140,  مكالمات اسبوع ,voice_offers
141,  إشتراك مكالمات ليل  مازازيك ,voice_offers
142,  كيف اكشف نتيجة الشهادة الأساس ,voice_offers
143,   جماعة أشتريت لي شريحه ومن فتحتها لي هسي قاريه معاي مكالمات طوارئ فقط المشكله شنو ,complaint
144,  شريحة البيانات بي كم   ونظام الاشتراك ,data_offer
145,  عندي شريحة بيانات م اشتغلت معاي ,complaint
146,  الانترنت م شغال معاي وانا مشترك في خدمة 5قيقا ,complaint
147,  العروض الشهرية لشريحة بيانات والأسعار تكون شاملة الضريبة ,data_offer
148,  عندي شريحه بيانات عاوز اعرف رقمها ,my_sim
149,  حنا بنعاني من مشكلة الشبكة حاليآ في كل القريه ويا ريت تدعمونا بي أنشأ برج لتعزيز الشبكة لدينا وشكرا ,complaint
